Country,Year,ENI,POP,URB,AFL,TI,TS,CTS,KAOPEN
JPN,2003,-1.9901738187752331,5.859053436002778,4.421199269748354,10.272450556433402,5.779018226728262,-1.5332582228552945,0.7360005736137549,2.333585023880005
JPN,2004,-2.007073693503621,5.859390058585505,4.438406968109989,10.320487271936518,5.802572505012244,-1.4303567477144468,0.8316369464650012,2.333585023880005
JPN,2005,-2.0532466562939304,5.859483979551079,4.454091449574048,10.362918395680085,5.811881600306192,-1.3274409527832278,0.895087309143672,2.333585023880005
JPN,2006,-2.0995617577726984,5.860117715445261,4.467263521520054,10.406992331869617,5.767198970278373,-1.1929741248581724,0.9902265901377503,2.333585023880005
JPN,2007,-2.1515501255110534,5.861266803922523,4.478994530616345,10.448758333304244,5.735280899469373,-1.1058215585448807,1.0160657105080375,2.333585023880005
JPN,2008,-2.199320386864321,5.861751057868502,4.4897930039436105,10.457337202424757,5.7213605307148105,-1.0671420980270616,1.067788822425683,2.333585023880005
JPN,2009,-2.200000104921809,5.86162611155621,4.499687440638298,10.4102634706946,5.606686460516089,-1.4068685694171699,0.6534858735423775,2.333585023880005
JPN,2010,-2.1957278586170847,5.8616685521676795,4.508791435465379,10.462731686852333,5.59497171679657,-1.2513087564145653,0.8829848985077368,2.333585023880005
JPN,2011,-2.293308123177364,5.859802571857921,4.51161746095504,10.484996126763445,5.591038235436346,-1.1909577695274556,0.9164053430807464,2.333585023880005
JPN,2012,-2.352695591553738,5.858191749841938,4.5124845590298595,10.523832452845486,5.593178086216773,-1.1829903605719987,0.9195195110753018,2.333585023880005
JPN,2013,-2.3909954679978394,5.856749031008069,4.513339944169802,10.570652075651243,5.551827280988403,-1.0744801573138023,0.92425489776902,2.333585023880005
JPN,2014,-2.4237703690762205,5.855422088786597,4.514194598251299,10.57590013972492,5.545675867694138,-0.9796094693409438,1.0282647624439778,2.333585023880005
JPN,2015,-2.4665972548203867,5.85436083884913,4.515037579388883,10.606492069754477,5.524189591106984,-1.031672944104359,0.931077409305436,2.333585023880005
MEX,1990,-1.7020541214475553,3.7654175840324617,4.268563940388076,8.997374361012175,1.796594708644701,-0.9540004803631177,-0.3647417660744419,-0.8501256704330444
MEX,1991,-1.7293726032651946,3.783942016929414,4.274107292454388,9.05484380248142,1.8187262813888783,-1.0275984762508816,-0.3486912108068646,-0.1483880877494812
MEX,1992,-1.7821792581916365,3.802049415548595,4.279564691869761,9.097848702404047,2.1789695521874703,-1.034131696905263,-0.3161054974523596,-0.1483880877494812
MEX,1993,-1.739649668965085,3.819696964036168,4.284937373241925,9.054346059034522,2.226347735565742,-1.2791306695733622,-0.42926900858940065,1.0559668540954592
MEX,1994,-1.7867518741711297,3.8368239543763822,4.2902539405825415,9.10657657139225,2.4005936002772494,-1.180582768167228,-0.25036626536462037,1.0559668540954592
